"","species","weight"
"378","neal",152
"379","chin",16
"380","nemi",236
"381","dime",48
"382","nemi",194
"383","dime",46
"384","pgfv",8
"385","chin",17
"386","chin",13
"387","dime",36
"388","chin",11
"389","nemi",200
"390","dime",38
"391","dime",46
"392","dime",44
"393","dime",38
"394","chin",13
"395","dime",32
"396","chin",13
"397","dime",49
"398","chin",14
"399","chin",12
"400","chin",18
"401","pgfv",9
"402","chin",14
"403","pgfv",9
"404","chin",16
"405","chin",12
"406","chin",11
"407","dime",46
"408","pgfv",9
"409","pgfv",7
"410","dime",34
"411","pgfv",7
"412","pgfv",9
"413","dime",39
"414","dime",49
"415","chin",7
"416","dime",51
"417","pgfv",7
"418","chin",14
"419","dime",46
"420","dime",47
"421","dime",50
"422","chin",12
"423","nemi",270
"424","neal",166
"425","chin",14
"426","pgfv",8
"427","neal",188
"428","chin",18
"429","neal",126
"430","chin",16
"431","chin",20
"432","chin",15
"433","dime",44
"434","neal",102
"435","pgfv",6
"436","pgfv",7
"437","chin",13
"438","pgfv",8
"439","chin",14
"440","pmle",18
"441","pgfv",8
"442","chin",15
"443","chin",13
"444","pgfv",7
"445","chin",15
"446","chin",11
"447","pgfv",7
"448","dime",27
"449","pgfv",8
"450","chin",15
"451","dime",47
"452","pmle",19
"453","chin",15
"454","dime",50
"455","neal",178
"456","pmtr",25
"457","pgfv",6
"458","neal",146
"459","chin",14
"460","neal",146
"461","dime",24
"462","dime",37
"463","neal",228
"464","pmbo",24
"465","neal",107
"466","dime",45
"467","neal",183
"468","dime",49
"469","dime",52
"470","neal",140
"471","neal",217
"472","dime",46
"473","neal",222
"474","nemi",168
"475","pmle",18
"476","chin",10
"477","neal",80
"478","pmtr",22
"479","dime",43
"480","pmle",24
"481","neal",109
"482","pmtr",30
"483","chin",15
"484","pmtr",19
"485","neal",98
"486","pmle",24
"487","neal",125
"488","chin",8
"489","dime",35
"490","neal",160
"491","dime",39
"492","chin",17
"493","dime",49
"494","dime",41
"495","neal",84
"496","neal",96
"497","dime",37
"498","dime",43
"499","pmle",20
"500","pmtr",22
"501","dime",38
"502","pmtr",22
"503","neal",68
"504","chin",16
"505","chin",10
"506","neal",108
"507","pmtr",25
"508","dime",41
"509","dime",19
"510","chin",16
"511","neal",152
"512","chin",16
"513","pmtr",27
"514","neal",160
"515","pmbo",26
"516","neal",74
"517","neal",140
"518","chin",10
"519","pmtr",25
"520","chin",10
"521","pmle",18
"522","pmtr",20
"523","pgfv",9
"524","dime",36
"525","dime",47
"526","dime",30
"527","dime",27
"528","neal",69
