"","species","weight"
"381","dior",51
"382","pmle",28
"383","dime",48
"384","dior",33
"385","dior",43
"386","pmle",25
"387","onar",35
"388","onle",21
"389","pmle",24
"390","pmle",21
"391","onle",29
"392","dior",47
"393","dior",50
"394","dime",40
"395","dior",47
"396","onle",28
"397","neal",136
"398","onle",33
"399","dior",50
"400","dior",30
"401","dime",38
"402","dime",52
"403","dior",45
"404","dime",32
"405","dime",41
"406","dior",49
"407","pmma",25
"408","dior",55
"409","pmtr",26
"410","neal",89
"411","pmle",28
"412","pgfv",8
"413","dime",30
"414","onle",19
"415","pgfl",10
"416","pgfl",11
"417","pgfl",12
"418","pmtr",24
"419","dime",32
"420","neal",158
"421","dior",48
"422","dime",20
"423","pgfl",9
"424","pmle",24
"425","pmle",19
"426","dior",45
"427","pmle",23
"428","dior",54
"429","onle",32
"430","dior",53
"431","dior",52
"432","remg",11
"433","dior",46
"434","pmle",21
"435","dior",48
"436","dime",28
"437","onle",37
"438","spsp",97
"439","dime",29
"440","onle",34
"441","onle",28
"442","pmle",14
"443","pmle",8
"444","spsp",90
"445","onle",26
"446","dime",48
"447","pgfl",10
"448","remg",7
"449","dior",46
"450","pmtr",14
"451","pmle",19
"452","amle",56
"453","pmle",15
"454","neal",77
"455","pmma",27
"456","onle",35
"457","neal",66
"458","neal",171
"459","pmle",28
"460","onle",44
"461","pmle",23
"462","pmtr",22
"463","neal",158
"464","pgfl",13
"465","neal",135
"466","onle",35.5
"467","dior",55
"468","pmle",27
"469","neal",204
"470","dime",44
"471","onle",46
"472","pgfl",10
"473","spsp",93
"474","dior",50
"475","onle",33
"476","neal",140
"477","dime",49
"478","dime",43
"479","dior",46
"480","pmtr",20
"481","dior",53
"482","dior",52
"483","dior",58
"484","neal",161
"485","pgfl",11
"486","onle",39
"487","dior",56
"488","dime",49
"489","dime",43
"490","pgfl",10
"491","dior",63
"492","onle",33
"493","spsp",86
"494","dior",54
"495","pgfl",10
"496","dior",52
"497","dime",32
"498","dime",35
"499","dior",52
"500","spsp",96
"501","pmma",26.5
"502","dior",54
"503","pgfl",16
"504","dime",31
"505","neal",170
"506","neal",206
"507","neal",102
"508","pmle",29
"509","dior",54
"510","neal",94
"511","neal",72
"512","pgfl",14
"513","neal",190
"514","neal",81
"515","dime",50
"516","dior",50
"517","neal",152
"518","neal",130
"519","onle",36
"520","pgfl",15
"521","neal",214
"522","neal",178
"523","pmma",17
"524","pmma",22
"525","dime",47
"526","onar",32
"527","neal",98
"528","pmtr",27
"529","neal",196
"530","neal",144
"531","neal",146
"532","neal",146
"533","neal",205
"534","dime",62
"535","dime",39
"536","pmtr",24
"537","pmtr",26
"538","dime",45
"539","onle",33
"540","onle",33
"541","dior",45
"542","remg",11
"543","onle",23
"544","dime",46
"545","neal",164
"546","dior",55
"547","disp",135
"548","neal",165
"549","pgfl",15
"550","neal",214
"551","dior",47
"552","neal",206
"553","dime",53
"554","remg",15
"555","neal",185
"556","onar",37
"557","pmle",31
"558","dime",44
"559","dior",61
"560","dior",58.5
"561","pmle",29
"562","neal",162
"563","dime",50
"564","dior",48
"565","pmle",28
"566","neal",87
"567","onle",29
"568","pmle",28
"569","pmle",18
"570","neal",110
"571","onle",39
"572","onle",36.5
"573","dime",45
"574","onle",34
"575","neal",80
"576","dior",51
"577","disp",100
"578","remg",22
"579","dime",48
"580","neal",96
"581","dior",42
"582","dior",45
"583","dime",39
"584","dime",33
"585","neal",208
"586","dior",55
"587","dime",49
"588","remg",14
"589","pgfl",10
"590","dior",41
"591","dior",55
"592","onle",40
"593","dior",59
"594","neal",9.2
"595","neal",218
"596","pmle",26
"597","dior",68
"598","dior",50
"599","onar",38
