"","species","weight"
"310","PEMA",21
"311","PEMA",11
"312","PEMA",13
"313","PEMA",14
"314","PEMA",15
"315","PEMA",14
"316","PEMA",15
"317","PEMA",15
"318","PEMA",17
"319","PEMA",15
"320","PEMA",19
"321","PEMA",14
"322","PEMA",14
"323","SOTR",4
"324","PEMA",18
"325","PEMA",20
"326","PEMA",17
"327","PEMA",15
"328","PEMA",13
"329","PEMA",14
"330","PEMA",11
"331","PEMA",14
"332","PEMA",14
"333","PEMA",11
"334","GLSA",140
"335","PEMA",14
"336","PEMA",20
"337","ZATR",30
"338","PEMA",14
"339","PEMA",14
"340","PEMA",17
"341","GLSA",125
"342","ZATR",29
"343","PEMA",12
"344","PEMA",16
"345","GLSA",144
"346","GLSA",94
"347","GLSA",140
"348","PEMA",12
"349","PEMA",15
"350","SCOR",42
"351","SCOR",54
"352","SCOR",57
"353","SCOR",49
"354","SCOR",46
"355","SCOR",52
"356","PEMA",18
"357","ZATR",30
"358","PEMA",13
"359","PEMA",15
"360","PEMA",20
"361","PEMA",15
"362","PEMA",11
"363","ZATR",23
"364","PEMA",10
"365","PEMA",11
"366","PEMA",14
"367","PEMA",15
"368","ZATR",26
"369","PEMA",28
"370","PEMA",10
"371","PEMA",13
"372","ZATR",17
"373","PEMA",13
"374","PEMA",11
"375","PEMA",11
"376","ZATR",23
"377","GLSA",97
"378","ZATR",27
"379","SCOR",60
"380","PEMA",13
"381","PEMA",14
"382","ZATR",23
"383","PEMA",15
"384","PEMA",11
"385","PEMA",11
"386","SCOR",53
"387","PEMA",13
"388","PEMA",9
"389","PEMA",12
"390","ZATR",18
"391","ZATR",27
"392","PEMA",10
"393","SCOR",48
"394","SCOR",64
"395","PEMA",14
"396","PEMA",13
"397","MIOR",19
"398","SCOR",54
"399","PEMA",14
"400","PEMA",14
"401","PEMA",14
"402","GLSA",78
"403","PEMA",13
"404","PEMA",12
"405","ZATR",22
"406","PEMA",13
"407","GLSA",76
"408","GLSA",87
"409","PEMA",10
"410","CLCA",13
"411","PEMA",16
"412","PEMA",11
"413","SCOR",53
"414","PEMA",18
"415","GLSA",146
"416","GLSA",62
"417","GLSA",140
"418","GLSA",54
"419","SCOR",42
"420","PEMA",11
"421","PEMA",16
"422","CLCA",24
"423","TADO",140
"424","CLCA",20
"425","CLCA",19
"426","PEMA",20
"427","GLSA",72
"428","GLSA",125
"429","GLSA",73
"430","ZATR",18
"431","PEMA",10
"432","PEMA",16
"433","PEMA",14
"434","SCOR",44
"435","PEMA",14
"436","GLSA",150
"437","GLSA",91
"438","ZATR",36
"439","PEMA",13
"440","PEMA",12
"441","PEMA",11
"442","PEMA",15
"443","GLSA",81
"444","GLSA",90
"445","PEMA",9
"446","CLCA",16
"447","GLSA",90
"448","ZATR",27
"449","SOTR",5
"450","SOTR",4.5
"451","PEMA",15
"452","GLSA",86
"453","SOTR",4.5
"454","SOTR",4
"455","CLCA",18
"456","PEMA",18
"457","GLSA",82
"458","SOTR",3.5
"459","SOTR",5
