"","species","weight"
"358","pgfv",7
"359","pgfv",7
"360","dior",47
"361","pgfv",7
"362","pgfv",9
"363","disp",84
"364","spsp",120
"365","disp",114
"366","remg",18
"367","pgfv",12
"368","disp",120
"369","spsp",108
"370","disp",154
"371","disp",116
"372","disp",156
"373","dior",43
"374","onar",24
"375","dior",58
"376","disp",34
"377","pgfv",5.5
"378","pgfv",5.5
"379","spsp",106
"380","pgfv",9
"381","pgfv",8
"382","remn",13
"383","onar",13
"384","dior",60
"385","remn",8
"386","pgfv",9
"387","disp",100
"388","onar",29
"389","remn",11
"390","disp",138
"391","nemi",92
"392","disp",136
"393","remn",8
"394","remn",9
"395","disp",92
"396","remn",6.5
"397","pgfv",5
"398","pgfv",9
"399","pgfv",9
"400","pgfv",7
"401","dior",55
"402","disp",130
"403","pgfv",6
"404","pgfv",7
"405","remn",9
"406","pgfv",9
"407","pgfv",6
"408","disp",112
"409","disp",132
"410","disp",102
"411","pgfv",8
"412","onar",21
"413","disp",130
"414","disp",118
"415","onar",31
"416","dior",54
"417","remn",6.5
"418","pgfv",7
"419","dior",48
"420","pgfv",8
"421","pgfv",9
"422","onar",19
"423","onar",29
"424","pgfv",8
"425","disp",108
"426","pgfv",8
"427","pgfv",9
"428","disp",120
"429","pgfv",6.5
"430","remn",9
"431","spsp",116
"432","remn",10
"433","spsp",136
"434","disp",150
"435","spsp",106
"436","disp",144
"437","onar",22
"438","disp",124
"439","remn",8
"440","spsp",74
"441","spsp",62
"442","onar",20
"443","dior",60
"444","remn",8
"445","pgfv",7
"446","disp",122
"447","disp",104
"448","remn",10
"449","disp",134
"450","disp",140
"451","disp",108
"452","pgfv",8
"453","disp",104
"454","pgfv",8
"455","spsp",124
"456","spsp",110
"457","disp",98
"458","pgfv",8
"459","dior",36
"460","disp",140
"461","pgfv",7
"462","disp",128
"463","disp",127
"464","spsp",130
"465","dior",42
"466","dior",46
"467","disp",150
"468","pmtr",23
"469","nemi",73
"470","nemi",169
"471","dior",35
"472","dior",30
"473","dior",50
"474","dior",38
"475","pgfv",9
"476","nemi",240
"477","pgfv",8
"478","pmtr",24
"479","pgfv",7
"480","pmtr",28
"481","spsp",105
"482","pgfv",5
"483","disp",80
"484","disp",119
"485","disp",100
"486","nemi",130
"487","pmtr",19
"488","pgfv",8
"489","disp",100
"490","disp",103
"491","pmdi",19
"492","pgfv",9
"493","pgfv",8
"494","disp",80
"495","pmtr",19
"496","pmtr",20
"497","disp",100
"498","disp",119
"499","pgfv",6
"500","pgfv",7
"501","spsp",100
"502","disp",137
"503","spsp",128
"504","dior",42
"505","disp",92
"506","nemi",69
"507","pmdi",18
"508","spsp",104
"509","pgfv",6
"510","spsp",110
"511","pgfv",7
"512","dior",32
"513","spsp",110
"514","remg",9
"515","onar",18
"516","pgfv",9
"517","disp",120
"518","disp",100
"519","disp",124
"520","disp",130
"521","pgfv",6
"522","dior",40
"523","disp",135
"524","disp",130
"525","dior",45
"526","dior",35
"527","spsp",114
"528","disp",120
"529","dior",40
"530","disp",146
"531","disp",108
"532","disp",148
"533","dior",40
"534","disp",112
"535","pgfv",8
"536","dior",48
"537","disp",128
"538","remn",8
"539","remn",9
"540","dior",49
"541","pgfv",8
"542","dior",42
"543","disp",132
"544","onar",16
"545","spsp",100
"546","disp",106
"547","disp",90
"548","onar",25
"549","disp",140
"550","pgfv",11
"551","onar",17
"552","pgfv",8
"553","onar",20
"554","remn",9
"555","pgfv",6
"556","dior",30
"557","pgfv",6
"558","dior",46
"559","disp",80
"560","disp",120
"561","pgfv",7
"562","disp",119
"563","pgfv",7
"564","dior",47
"565","dior",29
"566","disp",132
"567","onar",22
"568","onar",12
"569","dior",40
"570","dior",49
"571","pgfv",8
"572","dior",48
"573","dior",51
"574","pgfv",7
"575","pgfv",8
"576","dior",43
"577","dior",53
"578","disp",100
"579","pgfv",5
"580","pgfv",7
"581","dior",43
"582","pgfv",7
"583","pgfv",8
"584","onar",25
"585","disp",98
"586","disp",130
"587","pgfv",7
"588","pgfv",7
"589","pgfv",9
"590","nemi",150
"591","disp",112
"592","disp",125
"593","pgfv",6
"594","dior",49.5
"595","disp",149
"596","dior",51
"597","disp",123
"598","disp",121
"599","disp",132.5
"600","dior",72
"601","disp",147
"602","nemi",192
"603","pgfv",9
"604","disp",148
"605","dime",122
"606","pgfv",10
"607","disp",118
"608","dior",46
"609","disp",148.5
"610","nemi",149
"611","dior",71
"612","disp",153
"613","pmle",16
"614","sihi",85
"615","pgfv",10.5
"616","neal",190
"617","disp",141.5
"618","disp",127.5
"619","disp",112
"620","dior",49.5
"621","disp",138
"622","pmle",12
"623","disp",120
"624","spsp",129
"625","spsp",81
"626","disp",136
"627","spsp",83.5
"628","dior",56
"629","dior",37
"630","pgfv",7
"631","dior",46
"632","dior",53
"633","dior",49
"634","pgfv",9
"635","disp",110
"636","dior",47
"637","dior",37
"638","dior",51
"639","pgfv",9
"640","dior",49
"641","pgfv",8
"642","dior",30
"643","remg",9
"644","pgfv",6
"645","dior",46
"646","dior",51
"647","pgfv",8
"648","dior",46
"649","dior",51
"650","dior",36
"651","dior",48
"652","dior",34
"653","pgfv",10
"654","pgfv",9
"655","dior",52
"656","disp",89
"657","pmtr",21
"658","pgfv",6
"659","dior",43
"660","onar",18
"661","dior",63
"662","disp",145
"663","pgfv",9
"664","pgfv",8
"665","pgfv",9
"666","pgfv",7
"667","dior",52
"668","pgfv",10
"669","disp",140
"670","pgfv",8
"671","dior",53
"672","dior",45
"673","pgfv",8
"674","dior",32
"675","remg",10
"676","dior",52
"677","pgfv",8
"678","pgfv",7
"679","remn",13
"680","disp",122
"681","disp",120
"682","pgfv",7
"683","pgfv",7
"684","pmtr",26
"685","pgfv",8
"686","pgfv",9
"687","pmtr",23
"688","disp",140
"689","pgfv",7
"690","pgfv",8
"691","disp",131
"692","pgfv",7
"693","disp",82
"694","pgfv",8
"695","pgfv",8
"696","disp",90
"697","pgfv",7
"698","pgfv",10
"699","pgfv",8
"700","disp",94
"701","dior",46
"702","disp",122
"703","dior",57
"704","pgfv",10
"705","dior",55
"706","dior",25
"707","dior",52
"708","disp",140
"709","pgfv",9
"710","disp",118
"711","onar",14
"712","pgfv",7
"713","disp",170
"714","disp",104
"715","pgfv",7
"716","remg",10
"717","pgfv",8
"718","dior",32
"719","dior",37
"720","spsp",110
"721","pgfv",6
"722","dior",49
"723","pgfv",8
"724","disp",100
"725","pgfv",8
"726","pgfv",8
"727","pgfv",8
"728","disp",118
"729","pgfv",9
"730","pgfv",7
"731","pmtr",24
"732","pgfv",7
"733","nemi",154
"734","pgfv",8
"735","disp",132
"736","nemi",114
"737","dior",51
"738","pgfv",7
"739","dior",49
"740","dior",50
"741","spsp",98
"742","onar",18
"743","pgfv",7
"744","dior",50
"745","pgfv",7
"746","pgfv",7
"747","remn",8
"748","nemi",160
"749","dior",50
"750","disp",120
"751","onar",22
"752","disp",124
"753","disp",126
"754","dior",40
"755","dior",38
"756","pmle",30
"757","dior",48
"758","disp",148
"759","disp",128
"760","dior",50
"761","pgfv",8
"762","pgfv",6
"763","pgfv",7
"764","pgfv",5
"765","disp",130
"766","dior",50
"767","dior",54
"768","pgfv",5
"769","disp",84
"770","disp",132
"771","disp",111
"772","dior",49
"773","disp",130
"774","dior",50
"775","dior",49
"776","disp",114
"777","pgfv",6
"778","pgfv",8
"779","dior",36
"780","disp",111
"781","dior",128
"782","dior",50
"783","pgfv",7
"784","disp",130
"785","dior",49
"786","disp",138
"787","dior",54
"788","disp",134
"789","pgfv",8
"790","pgfv",7
"791","disp",141
"792","spsp",100
"793","disp",134
"794","dior",53
"795","disp",140
"796","dior",58
"797","pgfv",6
"798","dior",63
"799","dime",40
"800","dior",46
"801","nemi",200
"802","dime",35
"803","dime",39
"804","pgfv",7
"805","spsp",66
"806","pgfv",7
"807","disp",85
"808","pgfv",7
"809","disp",118
"810","dime",42
"811","remn",9
"812","spsp",56
"813","pgfv",6
"814","disp",120
"815","dime",40
"816","pgfv",6
"817","onar",18
"818","pgfv",7
"819","spsp",86
"820","dior",55
"821","disp",121
"822","onar",20
"823","spsp",95
"824","pgfv",7
"825","dior",51
"826","pgfv",7
"827","dime",31
"828","dior",51
"829","pgfv",7
"830","onar",26
"831","remn",10
"832","dior",45
"833","pgfv",5
"834","dior",58
"835","disp",131
"836","spsp",80
"837","pgfv",8
"838","disp",122
"839","dior",62
"840","disp",121
"841","dior",52
"842","pgfv",9
"843","dior",53
"844","dior",50
"845","dior",54
"846","onar",21
"847","disp",131
"848","spsp",80
"849","dior",44
"850","dior",49
"851","onar",21
"852","disp",121
"853","dior",56
"854","dior",45
"855","dior",42
"856","dior",49
"857","onar",22
"858","disp",124
"859","disp",130
"860","dior",49
"861","disp",142
"862","pmle",25
"863","pgfv",7
"864","pmtr",18
"865","disp",144
"866","pgfv",7
"867","pgfv",7
"868","pmtr",20
"869","neal",212
"870","pgfv",7
"871","onar",21
"872","pgfv",7
"873","pmle",15
"874","nemi",150
"875","disp",144
"876","disp",154
"877","pgfv",10
"878","disp",134
"879","dior",58
"880","disp",136
"881","disp",156
"882","dior",46
"883","pgfv",10
"884","pgfv",10
"885","dior",50
"886","pgfv",8
"887","pgfv",8
"888","dior",48
"889","pgfv",9
"890","onar",16
"891","dior",39
"892","pgfv",11
"893","pgfv",8
"894","dior",45
"895","pgfv",8
"896","pgfv",7
"897","pgfv",7
"898","pgfv",10
"899","pgfv",7
"900","pgfv",7
"901","pgfv",7
"902","pgfv",7
"903","disp",90
"904","pgfv",8
"905","pgfv",8
"906","pgfv",7
"907","dior",47
"908","pgfv",6
"909","pgfv",8
"910","pgfv",9
"911","disp",115
"912","pgfv",8
"913","dior",42
"914","dior",50
"915","pgfv",6
"916","disp",142
"917","pgfv",9
