"","species","weight"
"365","pgfv",6
"366","neal",80
"367","dime",24
"368","dime",47
"369","pgfv",8
"370","remg",7
"371","remg",10
"372","pgfv",7
"373","pgfv",4
"374","dime",34
"375","dime",49
"376","pmtr",20
"377","pgfv",7.5
"378","dime",52
"379","dime",34
"380","dime",37
"381","pgfv",7.5
"382","dior",52
"383","pgfv",7
"384","dime",38
"385","dime",38
"386","pgfv",8
"387","dior",49
"388","dime",32
"389","dior",38
"390","pmle",21
"391","pmle",30
"392","dime",46
"393","dime",31
"394","dior",30
"395","pgfv",8
"396","pgfv",7
"397","pgfl",8.5
"398","pgfv",7
"399","dime",52
"400","dime",41
"401","neal",178
"402","pgfv",6
"403","dime",49
"404","dime",33
"405","pgfv",7
"406","dime",50
"407","dime",25
"408","pgfv",9
"409","dior",38
"410","dime",37
"411","dime",42
"412","pmle",26.5
"413","pmle",27
"414","neal",176
"415","dime",51
"416","dime",34
"417","pgfv",6.5
"418","pmtr",24
"419","dime",34.5
"420","dime",32
"421","pgfv",8
"422","neal",177
"423","dime",33
"424","onar",23
"425","dime",36.5
"426","pmma",29.5
"427","dime",36
"428","dime",50
"429","pmdi",22
"430","pgfv",9
"431","dime",50
"432","dime",44
"433","dime",47
"434","pmle",32
"435","dime",30
"436","dime",50
"437","dime",44
"438","pmle",26
"439","dior",50
"440","dime",39
"441","dime",35
"442","pmdi",22
"443","dime",45
"444","onar",24
"445","dime",46
"446","pgfv",7
"447","pmle",24
"448","dime",35.8
"449","dime",49
"450","dime",35
"451","dime",47
"452","pmle",20
"453","pmle",13
"454","neal",172
"455","dime",22
"456","pmle",21
"457","dime",42
"458","pmle",13
"459","dime",49
"460","pmle",24
"461","dime",59
"462","dime",48
"463","pgfv",8
"464","dime",44
"465","pgfv",7
"466","dime",44
"467","dime",44
"468","dime",48
"469","pmle",26
"470","pgfv",7
"471","pgfv",8
"472","dime",49
"473","dime",43
"474","dime",45
"475","pgfl",9
"476","dime",48
"477","dime",49
"478","dime",44
"479","dime",50
"480","dime",45
"481","dime",27
"482","dime",39
"483","pgfv",7
"484","dime",51
"485","dime",39
"486","pgfv",8
"487","dime",45
"488","dime",44
"489","dime",46
"490","dime",46
"491","dime",35
"492","dime",40
"493","dime",56
"494","dime",36
"495","dime",52
"496","pgfv",6
"497","pmle",27
"498","dime",29
"499","dime",42
"500","dime",45
"501","dime",33
"502","dime",49
"503","pmtr",25
"504","pmle",24
"505","pmle",24
"506","dime",46
"507","pmle",17
"508","pmtr",29
"509","pgfv",9
"510","pmtr",33
"511","dime",48
"512","dime",44
"513","remg",15
"514","neal",124
"515","onle",32
"516","dime",22
"517","pmtr",13
"518","dime",48
"519","pgfv",5
"520","remg",12
"521","pgfv",4
"522","dime",45
"523","pgfv",6
"524","dime",40
"525","pgfv",7
"526","neal",92
"527","pmle",21
"528","remg",10
"529","dime",35
"530","onar",11
"531","pmtr",25
"532","onle",36
"533","dime",43
"534","pmle",17
"535","dime",29
"536","pgfv",7
"537","dime",49
"538","dime",31
"539","pgfv",9
"540","pgfv",8
"541","pgfv",7
"542","pgfv",9
"543","remn",12
"544","pgfv",7
"545","remn",13
"546","dime",44
"547","remn",10
"548","pgfv",8
"549","onle",33
"550","neal",168
"551","dime",40
"552","dime",43
"553","dime",47
"554","dime",46
"555","dime",41.5
"556","dime",39
"557","dime",39
"558","onar",44
"559","remg",15
"560","dime",47
"561","dime",45
"562","onle",42
"563","dime",47
"564","dime",32
"565","dime",50
"566","dime",45
"567","dime",40
"568","dime",27
"569","pmle",25
"570","dime",44
"571","pgfv",8
"572","dime",41
"573","dime",50
"574","pgfv",7
"575","pgfv",8
"576","dime",44
"577","pgfv",6
"578","dime",51
"579","dime",46
"580","pgfv",7
"581","dime",44
"582","dime",40
"583","neal",182
"584","pgfv",7
"585","pgfv",7.5
"586","pgfv",8
"587","dime",45
"588","dime",36
"589","dime",46
"590","dime",42
"591","pmle",27
"592","dime",41
"593","dime",49
"594","pgfv",10
"595","pmle",30
"596","neal",150
"597","dime",44
"598","pgfv",8
"599","dime",46
"600","pgfv",7
"601","pgfv",9
"602","dime",47
"603","dime",43
"604","pgfv",9
"605","pmle",19
"606","dime",36
"607","neal",90
"608","pgfv",7
"609","dime",34
"610","pmle",29
"611","onle",38
"612","dime",47
"613","neal",113
"614","dime",41
"615","pmle",36
"616","pmle",28
"617","pmle",29
"618","dime",40
"619","dime",49
"620","dime",43
"621","dime",48
"622","pgfv",8
"623","pgfv",9
"624","dime",48
"625","dime",51
"626","dime",39
"627","dime",40
"628","pmle",23
"629","dime",45
"630","pgfv",10
"631","pgfv",8.5
"632","pgfv",7
"633","dime",44
"634","dime",47
