"","species","wgt"
"399","DS",140
"400","DS",89
"401","DS",121
"402","DS",133
"403","DS",84
"404","DM",42
"405","DS",118
"406","DS",114
"407","DS",76
"408","DS",141
"409","DM",50
"410","DS",148
"411","DS",142
"412","DS",131
"413","DM",44
"414","DM",46
"415","DS",132
"416","DS",75
"417","DS",117
"418","DM",45
"419","DS",142
"420","DM",49
"421","DM",42
"422","DM",42
"423","DO",55
"424","DS",142
"425","DS",142
"426","DM",43
"427","DS",84
"428","DM",42
"429","DM",40
"430","NA",225
"431","DM",48
"432","DM",51
"433","DM",42
"434","DS",160
"435","DS",100
"436","DM",21
"437","DO",37
"438","DS",131
"439","DS",54
"440","DM",39
"441","DS",148
"442","DM",41
"443","OT",30
"444","DM",49
"445","DM",44
"446","PP",13
"447","DS",114
"448","DS",126
"449","DS",120
"450","DS",68
"451","DS",83
"452","DM",40
"453","DS",137
"454","DS",57
"455","NA",212
"456","DM",37
"457","DS",83
"458","DS",74
"459","DM",41
"460","DS",108
"461","DO",54
"462","PF",7
"463","DS",125
"464","DS",129
"465","DM",35
"466","DS",64
"467","DS",90
"468","DS",118
"469","DM",42
"470","DM",29
"471","PP",15
"472","DM",29
"473","DS",97
"474","DM",21
"475","DS",121
"476","DM",41
"477","DS",83
"478","OT",24
"479","DS",121
"480","DM",44
"481","PM",22
"482","DM",23
"483","DS",131
"484","DM",41
"485","DS",115
"486","DM",38
"487","DM",21
"488","DO",18
"489","DM",41
"490","DM",41
"491","DS",102
"492","DS",138
"493","DM",43
"494","DM",31
"495","NA",174
"496","DS",130
"497","DM",40
"498","DS",116
"499","DS",160
"500","DM",40
"501","DS",100
"502","DO",38
"503","DS",134
"504","DS",59
"505","DS",58
"506","NA",200
"507","DS",149
"508","PF",8
"509","DM",43
"510","DS",122
"511","DS",119
"512","DS",81
"513","DS",93
"514","DS",71
"515","DS",134
"516","DM",50
"517","DM",24
"518","DS",82
"519","DM",38
"520","DS",32
"521","DS",73
"522","DM",41
"523","DS",110
"524","DO",55
"525","DS",125
"526","DO",55
"527","PF",8
"528","DS",124
"529","DM",40
"530","DS",70
"531","DM",36
"532","DS",71
"533","DS",94
"534","DS",100
"535","DS",119
"536","DM",43
"537","DS",98
"538","DM",26
"539","PP",15
"540","DS",90
"541","DS",84
"542","DS",115
"543","DM",16
"544","DM",19
"545","DM",39
"546","DS",84
"547","PP",17
"548","DS",107
"549","OL",44
"550","OT",28
"551","DM",24
"552","DM",46
"553","DS",122
"554","DM",28
"555","DM",29
"556","DM",43
"557","OL",29
"558","DS",123
"559","DS",133
"560","DM",29
"561","NA",135
"562","DM",43
"563","DO",23
"564","DM",23
"565","DS",136
"566","DS",102
"567","DM",40
"568","DM",42
"569","DM",37
"570","NA",232
"571","DM",46
"572","DM",48
"573","DM",26
"574","DM",42
"575","DS",124
"576","DS",120
"577","DM",45
"578","DS",117
"579","DS",99
"580","PF",7
"581","DM",45
"582","DS",101
"583","DS",63
"584","DS",65
"585","DS",130
"586","DM",46
"587","DM",43
"588","DS",130
"589","DM",36
"590","DS",81
"591","DS",80
"592","DS",118
"593","DS",91
"594","DM",47
"595","DS",133
"596","DS",71
"597","DS",85
"598","DO",51
"599","DS",124
"600","DS",111
"601","DS",127
"602","DM",36
"603","DS",86
"604","DM",34
"605","DS",98
"606","PP",16
"607","DS",122
"608","DM",48
"609","DS",96
